iter	Passed	Remaining
0	130	130673
1	131	65756
2	132	44021
3	133	33141
4	134	26667
5	134	22322
6	135	19210
7	136	16873
8	136	15055
9	137	13600
10	137	12406
11	138	11412
12	139	10574
13	139	9854
14	140	9237
15	141	8706
16	142	8226
17	143	7827
18	144	7443
19	144	7095
20	145	6781
21	146	6495
22	146	6234
23	147	5993
24	148	5779
25	148	5581
26	149	5393
27	150	5220
28	151	5055
29	151	4902
30	152	4758
31	152	4623
32	153	4497
33	154	4377
34	155	4284
35	156	4181
36	156	4082
37	157	3988
38	158	3900
39	158	3814
40	159	3731
41	160	3654
42	160	3579
43	161	3507
44	162	3440
45	163	3380
46	163	3318
47	164	3258
48	164	3200
49	165	3146
50	166	3094
51	167	3052
52	168	3004
53	168	2957
54	169	2911
55	170	2870
56	171	2829
57	171	2788
58	172	2747
59	172	2708
60	173	2670
61	174	2634
62	174	2599
63	175	2565
64	176	2532
65	176	2502
66	177	2472
67	177	2438
68	178	2413
69	179	2385
70	180	2357
71	180	2330
72	181	2304
73	182	2279
74	182	2253
75	183	2230
76	184	2209
77	184	2186
78	185	2164
79	186	2142
80	187	2123
81	187	2102
82	188	2082
83	189	2062
84	189	2040
85	190	2022
86	191	2007
87	191	1989
88	192	1971
89	193	1954
90	193	1937
91	194	1920
92	195	1903
93	195	1887
94	196	1871
95	197	1855
96	197	1839
97	198	1825
98	198	1810
99	199	1796
100	200	1782
101	200	1765
102	201	1753
103	202	1740
104	203	1731
105	203	1719
106	204	1706
107	205	1694
108	205	1682
109	206	1670
110	207	1659
111	207	1647
112	208	1635
113	209	1624
114	209	1613
115	210	1601
116	210	1591
117	211	1580
118	211	1569
119	212	1558
120	213	1549
121	213	1539
122	214	1529
123	215	1519
124	215	1510
125	216	1501
126	217	1492
127	217	1481
128	218	1472
129	218	1464
130	219	1455
131	220	1447
132	220	1438
133	221	1430
134	222	1422
135	222	1414
136	223	1406
137	223	1397
138	224	1390
139	225	1382
140	225	1375
141	226	1368
142	227	1361
143	227	1354
144	228	1347
145	229	1340
146	229	1333
147	230	1325
148	231	1319
149	231	1312
150	232	1306
151	233	1300
152	233	1293
153	234	1287
154	234	1280
155	235	1274
156	236	1268
157	236	1261
158	237	1255
159	237	1249
160	238	1243
161	239	1237
162	239	1231
163	240	1226
164	241	1221
165	242	1218
166	243	1213
167	243	1207
168	244	1202
169	245	1197
170	245	1191
171	246	1186
172	247	1181
173	247	1176
174	248	1170
175	249	1165
176	249	1160
177	250	1156
178	251	1151
179	251	1146
180	252	1140
181	252	1135
182	253	1130
183	253	1125
184	254	1121
185	255	1116
186	255	1112
187	256	1108
188	257	1103
189	257	1099
190	258	1094
191	259	1090
192	259	1085
193	260	1081
194	260	1077
195	261	1073
196	262	1069
197	263	1065
198	263	1061
199	264	1057
200	264	1053
201	265	1049
202	266	1045
203	266	1041
204	267	1037
205	268	1033
206	268	1029
207	269	1025
208	269	1021
209	270	1017
210	271	1013
211	271	1009
212	272	1006
213	272	1002
214	273	998
215	274	995
216	274	991
217	275	988
218	276	984
219	276	981
220	277	977
221	278	974
222	278	971
223	279	967
224	279	964
225	280	960
226	281	957
227	281	954
228	282	950
229	283	947
230	283	944
231	284	941
232	285	938
233	285	935
234	286	932
235	286	928
236	287	925
237	288	922
238	288	919
239	289	916
240	289	913
241	290	910
242	291	907
243	291	904
244	292	901
245	293	898
246	293	895
247	294	892
248	294	889
